,sofifa_id,short_name,preferred_foot,overall,player_positions,weak_foot,skill_moves,work_rate,body_type,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
35,189596,T. Müller,Right,87,"CAM, RM, RW",4,3,High/High,Lean (185+),67.0,84.0,83.0,80.0,56.0,71.0,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,
36,192387,C. Immobile,Right,87,ST,4,3,High/Medium,Unique,86.0,87.0,67.0,81.0,39.0,77.0,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,
37,195864,P. Pogba,Right,87,"CM, LM",4,5,High/Medium,Unique,71.0,81.0,86.0,86.0,65.0,83.0,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,
38,199556,M. Verratti,Right,87,"CM, CAM",4,4,Medium/High,Unique,64.0,61.0,87.0,91.0,79.0,67.0,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,
39,207865,Marquinhos,Right,87,"CB, CDM",3,3,Medium/High,Normal (170-185),81.0,53.0,75.0,74.0,89.0,81.0,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,
40,209658,L. Goretzka,Right,87,"CM, CDM",4,3,High/Medium,Unique,81.0,82.0,82.0,84.0,81.0,86.0,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,
41,211110,P. Dybala,Left,87,"CF, CAM",3,4,Medium/Medium,Unique,84.0,86.0,86.0,90.0,40.0,60.0,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,
42,216267,A. Robertson,Left,87,LB,2,3,High/High,Unique,84.0,61.0,81.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,
43,228702,F. de Jong,Right,87,"CM, CDM, CB",3,4,High/Medium,Unique,81.0,69.0,85.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,
44,231281,T. Alexander-Arnold,Right,87,RB,4,3,High/Medium,Unique,79.0,68.0,88.0,80.0,80.0,72.0,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,
45,233049,J. Sancho,Right,87,"RM, CF, LM",3,5,High/Medium,Unique,81.0,76.0,82.0,91.0,36.0,65.0,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,
46,239818,Rúben Dias,Right,87,CB,4,2,Medium/High,Normal (185+),61.0,38.0,65.0,68.0,88.0,88.0,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,
47,138956,G. Chiellini,Left,86,CB,3,2,Medium/High,Normal (185+),68.0,46.0,60.0,59.0,89.0,85.0,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,
48,162835,S. Handanovič,Right,86,GK,3,1,Medium/Medium,Unique,0.0,0.0,0.0,0.0,0.0,0.0,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47.0
49,178603,M. Hummels,Right,86,CB,3,3,High/High,Normal (185+),56.0,59.0,77.0,73.0,89.0,77.0,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,
50,189332,Jordi Alba,Left,86,"LB, LM",3,3,High/Medium,Unique,86.0,69.0,81.0,83.0,77.0,71.0,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,
51,189509,Thiago,Right,86,"CM, CDM",3,5,Medium/Medium,Normal (170-185),63.0,72.0,86.0,90.0,70.0,66.0,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,
52,189511,Sergio Busquets,Right,86,"CDM, CM",3,3,Medium/Medium,Lean (185+),42.0,62.0,79.0,80.0,82.0,75.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,
53,189513,Parejo,Right,86,CM,4,3,Medium/Medium,Lean (170-185),50.0,83.0,90.0,81.0,71.0,69.0,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,
54,192984,K. Casteels,Left,86,GK,2,1,Medium/Medium,Normal (185+),0.0,0.0,0.0,0.0,0.0,0.0,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45.0
55,198219,L. Insigne,Right,86,"LW, CF",4,4,High/Medium,Unique,87.0,78.0,85.0,90.0,36.0,45.0,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,
56,201024,K. Koulibaly,Right,86,CB,3,2,Medium/High,Unique,81.0,28.0,51.0,65.0,87.0,85.0,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,
57,201535,R. Varane,Right,86,CB,3,2,Medium/High,Unique,82.0,49.0,64.0,65.0,87.0,82.0,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,
58,204485,R. Mahrez,Left,86,"RW, RM",4,5,Medium/Medium,Unique,81.0,79.0,81.0,90.0,38.0,60.0,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,
59,208093,Gerard Moreno,Left,86,"ST, RM, RW",4,3,High/Medium,Lean (170-185),79.0,86.0,77.0,84.0,46.0,73.0,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10,
60,208830,J. Vardy,Right,86,ST,4,3,High/Medium,Unique,85.0,84.0,70.0,80.0,52.0,73.0,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,
61,209499,Fabinho,Right,86,"CDM, CB",2,3,Medium/High,Unique,67.0,69.0,78.0,78.0,85.0,83.0,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,
62,210514,João Cancelo,Right,86,"RB, LB",4,4,High/Medium,Unique,85.0,71.0,83.0,84.0,80.0,72.0,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,
63,212218,A. Laporte,Left,86,CB,3,2,Medium/Medium,Unique,63.0,50.0,72.0,69.0,86.0,80.0,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,
64,213345,K. Coman,Right,86,"LM, RM, LW",3,4,Medium/Medium,Unique,93.0,76.0,79.0,88.0,30.0,60.0,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5,
65,218667,Bernardo Silva,Left,86,"CAM, CM, RW",3,4,High/High,Lean (170-185),80.0,76.0,83.0,91.0,54.0,67.0,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,
66,226161,Marcos Llorente,Right,86,"CM, RM, ST",4,3,High/Medium,Lean (170-185),88.0,80.0,81.0,82.0,78.0,82.0,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15,
67,231866,Rodri,Right,86,CDM,4,3,Medium/High,Normal (185+),61.0,70.0,77.0,78.0,82.0,82.0,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,
68,232363,M. Škriniar,Right,86,CB,3,2,Medium/High,Unique,80.0,41.0,53.0,69.0,87.0,84.0,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12,
69,143076,A. Gómez,Right,85,"CAM, CF, CM",4,4,High/Medium,Normal (170-),87.0,78.0,84.0,87.0,39.0,55.0,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,
70,163587,K. Schmeichel,Right,85,GK,3,1,Medium/Medium,Stocky (185+),0.0,0.0,0.0,0.0,0.0,0.0,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47.0
71,164240,Thiago Silva,Right,85,CB,3,2,Medium/High,Normal (170-185),53.0,54.0,72.0,72.0,86.0,78.0,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,
72,168542,David Silva,Left,85,"CAM, CM",2,4,High/Medium,Normal (170-185),63.0,74.0,87.0,87.0,52.0,53.0,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12,
73,177683,Y. Sommer,Right,85,GK,4,1,Medium/Medium,Normal (170-185),0.0,0.0,0.0,0.0,0.0,0.0,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50.0
74,179813,E. Cavani,Right,85,ST,4,3,High/High,Unique,66.0,86.0,70.0,76.0,51.0,79.0,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,
75,183277,E. Hazard,Right,85,LW,4,4,Medium/Medium,Unique,84.0,80.0,82.0,88.0,35.0,63.0,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8,
76,184344,L. Bonucci,Right,85,CB,4,2,Medium/High,Lean (185+),64.0,58.0,69.0,72.0,86.0,80.0,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4,
77,185122,P. Gulácsi,Right,85,GK,2,1,Medium/Medium,Normal (185+),0.0,0.0,0.0,0.0,0.0,0.0,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,43.0
78,186942,İ. Gündoğan,Right,85,"CM, CDM",4,4,High/Medium,Normal (170-185),65.0,80.0,85.0,86.0,73.0,72.0,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,
79,188350,M. Reus,Right,85,"CAM, CF",4,4,High/Medium,Unique,73.0,84.0,84.0,85.0,47.0,63.0,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11,
80,188377,K. Walker,Right,85,RB,2,3,High/High,Unique,92.0,63.0,76.0,78.0,80.0,82.0,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,
81,188567,P. Aubameyang,Right,85,"ST, LW, LM",4,4,Medium/Low,Unique,89.0,85.0,75.0,80.0,35.0,69.0,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9,
82,193747,Koke,Right,85,"CM, CDM",4,3,Medium/Medium,Normal (170-185),70.0,75.0,85.0,81.0,79.0,80.0,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13,
83,194765,A. Griezmann,Left,85,"ST, LW, RW",3,4,Medium/Medium,Unique,80.0,84.0,84.0,87.0,52.0,72.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,
84,198176,S. de Vrij,Right,85,CB,3,2,Medium/High,Unique,72.0,41.0,64.0,70.0,87.0,79.0,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,
85,201942,Roberto Firmino,Right,85,CF,4,5,High/High,Unique,77.0,78.0,79.0,89.0,59.0,78.0,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,
86,202556,M. Depay,Right,85,"CF, LW, CAM",3,5,High/Low,Unique,82.0,83.0,82.0,84.0,30.0,79.0,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,
87,204963,Carvajal,Right,85,RB,3,3,High/Medium,Unique,80.0,54.0,78.0,80.0,81.0,80.0,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,
88,205498,Jorginho,Right,85,"CM, CDM",3,3,Medium/Medium,Lean (170-185),55.0,67.0,86.0,81.0,73.0,73.0,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,
89,206113,S. Gnabry,Right,85,"RM, LM, RW",4,4,High/Medium,Unique,83.0,84.0,79.0,86.0,43.0,69.0,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,
90,223848,S. Milinković-Savić,Right,85,"CM, CDM, CAM",5,4,High/Medium,Normal (185+),68.0,79.0,80.0,81.0,79.0,86.0,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,
91,226790,W. Ndidi,Right,85,"CDM, CM",4,3,Medium/High,Lean (170-185),67.0,62.0,69.0,74.0,87.0,83.0,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,
92,230142,Oyarzabal,Left,85,"LW, RW",3,3,High/Medium,Lean (170-185),82.0,82.0,81.0,84.0,41.0,63.0,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11,
93,231478,L. Martínez,Right,85,ST,4,4,High/Medium,Unique,84.0,81.0,72.0,85.0,48.0,84.0,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,
94,231677,M. Rashford,Right,85,"LM, ST",3,5,High/Medium,Unique,90.0,84.0,79.0,84.0,43.0,77.0,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,
95,235212,A. Hakimi,Right,85,"RB, RWB",4,3,High/Medium,Lean (170-185),95.0,71.0,78.0,83.0,76.0,78.0,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8,
96,235243,M. de Ligt,Right,85,CB,3,2,Medium/High,Unique,73.0,59.0,60.0,69.0,84.0,87.0,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,
97,41236,Z. Ibrahimović,Right,84,ST,4,5,Medium/Low,Unique,65.0,87.0,78.0,79.0,34.0,77.0,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24,13,15,10,9,12,
98,146536,Jesús Navas,Right,84,"RB, RM",2,4,High/Medium,Lean (170-),87.0,69.0,81.0,83.0,79.0,58.0,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,82,77,79,10,10,15,7,13,
99,152729,Piqué,Right,84,CB,3,2,High/Medium,Unique,58.0,61.0,71.0,68.0,85.0,78.0,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,86,85,83,10,11,14,15,8,
